mm_main_double_280,mm_main_double_400,mm_main_double_750,mm_main_double_900,mm_main_double_1200,mm_main_double_1500,mm_main_double_1900,mm_main_double_2100,mm_main_double_2330,mm_main_double_2500,mm_main_double_2750,mm_main_double_3000
0.179594 ,0.398812 ,3.225754 ,5.377471 ,12.789525 ,29.614860 ,56.984595 ,75.898051 ,110.536988 ,128.081275 ,170.426873 ,201.926390 
0.140430 ,0.397487 ,3.212986 ,5.277910 ,12.746874 ,39.831624 ,56.950359 ,75.866904 ,107.321655 ,127.900859 ,168.866087 ,203.211279 
0.138083 ,0.428003 ,3.238406 ,5.315703 ,12.773750 ,29.551153 ,56.812131 ,75.735439 ,106.815022 ,127.740896 ,170.256431 ,202.395494 
0.137199 ,0.428434 ,3.215425 ,5.308206 ,12.682530 ,30.023557 ,56.851155 ,75.604095 ,110.357606 ,128.222146 ,170.285601 ,203.084535 
0.138127 ,0.398912 ,3.230775 ,5.296138 ,12.781659 ,29.542512 ,56.892613 ,75.844925 ,106.216914 ,127.930365 ,169.232189 ,203.562476 
0.169608 ,0.429824 ,3.196256 ,5.437570 ,12.790340 ,29.546863 ,56.985416 ,76.006012 ,107.645150 ,127.966728 ,168.579029 ,202.333966 
0.138848 ,0.397005 ,3.193107 ,5.320046 ,12.811229 ,29.505615 ,56.921274 ,75.776323 ,104.320131 ,127.624452 ,168.833033 ,201.998476 
0.167076 ,0.398196 ,3.184374 ,5.436050 ,12.760212 ,29.579639 ,56.859816 ,75.811191 ,104.740045 ,128.322360 ,170.272653 ,201.708394 
0.171539 ,0.428959 ,3.307725 ,5.321325 ,12.776798 ,29.531820 ,57.009319 ,75.692746 ,103.814398 ,128.062621 ,168.656360 ,201.549809 
0.168998 ,0.429018 ,3.213640 ,5.310098 ,12.816908 ,29.613931 ,56.781639 ,75.573317 ,104.647331 ,128.139262 ,172.779484 ,201.801155 
0.167600 ,0.436063 ,3.300728 ,5.291061 ,12.772669 ,29.567400 ,56.887118 ,75.827747 ,104.549598 ,128.388129 ,170.355420 ,202.101576 
0.135598 ,0.428924 ,3.176629 ,5.323835 ,12.769187 ,29.581375 ,56.973677 ,75.927539 ,104.053230 ,127.712014 ,171.597468 ,201.973118 
0.169178 ,0.399675 ,3.198787 ,5.309297 ,12.815245 ,29.580778 ,56.785483 ,75.681600 ,103.674628 ,127.867270 ,169.162815 ,202.240901 
0.135456 ,0.398889 ,3.402936 ,5.389301 ,12.794621 ,29.789286 ,56.875508 ,75.921416 ,105.114441 ,128.388076 ,169.967905 ,202.274436 
0.139916 ,0.415390 ,3.236997 ,5.508534 ,13.103868 ,29.642654 ,56.886131 ,76.002636 ,104.710639 ,127.666609 ,171.083022 ,202.015268 
0.167219 ,0.399570 ,3.260989 ,5.540245 ,12.785830 ,29.607173 ,56.901660 ,75.486195 ,104.660752 ,127.630697 ,171.586790 ,202.114913 
0.142521 ,0.398405 ,3.247090 ,5.315289 ,12.769602 ,29.616209 ,56.914426 ,76.068543 ,103.993532 ,127.874154 ,167.787080 ,202.595612 
0.165193 ,0.405138 ,3.314271 ,5.319501 ,12.807216 ,29.652989 ,56.894344 ,75.727275 ,104.202262 ,127.829367 ,168.946250 ,202.699587 
0.173829 ,0.398028 ,3.268887 ,5.434124 ,12.774970 ,29.652431 ,56.743129 ,75.780344 ,104.541759 ,128.039090 ,169.384067 ,201.964440 
0.168564 ,0.430793 ,3.275512 ,5.415647 ,12.768797 ,29.602800 ,56.915369 ,75.869273 ,104.918909 ,128.178624 ,170.041041 ,202.161676 
0.135075 ,0.430434 ,3.219043 ,5.281804 ,12.780108 ,29.607500 ,56.999764 ,75.862439 ,104.220376 ,127.687079 ,172.016947 ,202.260343 
0.165108 ,0.428685 ,3.260775 ,5.443357 ,12.783027 ,29.636315 ,56.875769 ,75.799863 ,104.313328 ,128.277190 ,168.844306 ,202.285808 
0.167690 ,0.399265 ,3.269165 ,5.302157 ,12.763225 ,29.623100 ,56.943887 ,75.679726 ,104.163798 ,128.131722 ,168.166337 ,201.728582 
0.168389 ,0.430523 ,3.267891 ,5.326779 ,12.791152 ,29.593106 ,57.021083 ,75.778176 ,104.300896 ,128.192694 ,170.055733 ,202.109499 
0.163324 ,0.428776 ,3.196491 ,5.319337 ,12.779662 ,29.500821 ,56.850509 ,75.927196 ,104.240425 ,127.862029 ,170.029337 ,202.174324 
0.168628 ,0.396349 ,3.229279 ,5.329129 ,12.745221 ,29.638253 ,56.820047 ,81.514310 ,104.351731 ,128.773887 ,169.395576 ,202.097855 
0.166598 ,0.428309 ,3.236815 ,5.300959 ,12.785128 ,29.571190 ,56.882981 ,81.002475 ,104.907802 ,127.565664 ,168.852005 ,201.720376 
0.171100 ,0.431597 ,3.207590 ,5.315993 ,12.743012 ,29.507643 ,56.888557 ,78.842785 ,104.051519 ,128.094455 ,169.626333 ,201.901026 
0.166944 ,0.426870 ,3.206468 ,5.299671 ,12.665133 ,29.607655 ,56.835135 ,80.431417 ,104.108802 ,127.878669 ,168.912856 ,201.637490 
0.135010 ,0.429030 ,3.318869 ,5.302717 ,12.775129 ,29.628315 ,56.897598 ,77.713354 ,104.863453 ,127.679497 ,169.466582 ,201.957088 
