mm_main_int_280,mm_main_int_400,mm_main_int_750,mm_main_int_900,mm_main_int_1200,mm_main_int_1500,mm_main_int_1900,mm_main_int_2100,mm_main_int_2330,mm_main_int_2500,mm_main_int_2750,mm_main_int_3000
0.080498 ,0.150494 ,1.233458 ,1.840865 ,4.862170 ,14.667098 ,32.578978 ,43.335633 ,61.342643 ,76.564775 ,98.496546 ,128.614644 
0.083499 ,0.180197 ,1.040711 ,1.757994 ,4.813398 ,14.917035 ,32.291467 ,42.888686 ,61.933113 ,76.376129 ,97.951827 ,129.401552 
0.058066 ,0.164080 ,1.049232 ,1.821833 ,4.842420 ,14.520688 ,32.467165 ,42.665582 ,60.922522 ,76.532159 ,99.099772 ,130.607264 
0.051332 ,0.182303 ,1.048962 ,1.901891 ,4.807132 ,14.582142 ,32.699725 ,42.922892 ,61.906871 ,76.468690 ,98.378452 ,128.716879 
0.049638 ,0.156064 ,1.031337 ,1.825390 ,4.815514 ,14.691932 ,32.601050 ,42.800902 ,61.008113 ,76.791420 ,98.053509 ,127.610211 
0.050806 ,0.173083 ,1.036393 ,1.797482 ,4.850335 ,14.890154 ,32.558119 ,43.149295 ,61.901698 ,76.755665 ,98.094891 ,128.167235 
0.050879 ,0.168523 ,1.043811 ,1.865035 ,4.840422 ,14.906810 ,32.442201 ,43.391864 ,61.091367 ,76.859977 ,98.389511 ,128.610428 
0.052614 ,0.144355 ,1.132329 ,1.953252 ,4.841855 ,14.993246 ,32.405359 ,42.125882 ,62.417999 ,76.571812 ,98.353443 ,129.024740 
0.081871 ,0.146577 ,1.173970 ,1.932622 ,4.830395 ,14.885319 ,32.542453 ,43.199200 ,61.580649 ,76.318984 ,98.077147 ,128.294899 
0.082160 ,0.156919 ,1.016061 ,1.815214 ,4.847784 ,14.596320 ,32.427202 ,42.821943 ,61.971134 ,76.421234 ,97.919337 ,129.444050 
0.054080 ,0.178323 ,0.985290 ,1.804076 ,4.846676 ,14.533046 ,32.563143 ,42.774176 ,61.980558 ,76.615412 ,98.040686 ,128.834695 
0.054044 ,0.186088 ,1.059576 ,1.827793 ,4.852177 ,14.622830 ,32.567282 ,43.101387 ,61.512592 ,76.550884 ,97.246559 ,129.043992 
0.084597 ,0.167737 ,1.008392 ,1.851915 ,4.842349 ,15.005472 ,32.633719 ,43.317824 ,62.263512 ,76.834322 ,97.767820 ,129.139994 
0.056141 ,0.179109 ,0.976824 ,1.812720 ,4.847160 ,14.503176 ,32.422823 ,43.683152 ,61.904061 ,76.461905 ,98.365613 ,128.635502 
0.057112 ,0.182606 ,0.978361 ,1.823902 ,4.819385 ,14.755243 ,32.792868 ,43.888819 ,61.307064 ,76.686856 ,97.959368 ,128.510519 
0.079997 ,0.152286 ,0.972869 ,1.866246 ,4.824087 ,14.699648 ,32.775116 ,43.659182 ,61.785669 ,76.894597 ,98.242868 ,128.524836 
0.069028 ,0.153232 ,0.983215 ,1.835488 ,4.810325 ,14.805965 ,32.669936 ,42.820402 ,62.053196 ,76.815017 ,98.157332 ,129.243364 
0.052306 ,0.184544 ,0.992970 ,1.799419 ,4.840100 ,14.605860 ,32.521831 ,43.138013 ,61.766563 ,76.535378 ,98.068061 ,127.871307 
0.051387 ,0.174124 ,0.981678 ,1.831802 ,4.826517 ,14.939286 ,32.577069 ,43.483613 ,62.171196 ,76.773616 ,98.072186 ,128.139752 
0.080068 ,0.169741 ,1.055624 ,1.861077 ,4.828057 ,14.891365 ,32.599346 ,42.933786 ,61.153658 ,76.352055 ,98.592354 ,129.367008 
0.050021 ,0.184289 ,1.083296 ,1.870529 ,4.857614 ,14.565509 ,32.409472 ,42.968360 ,62.456476 ,76.308963 ,98.165636 ,129.081042 
0.081537 ,0.182006 ,1.067118 ,1.876322 ,4.789605 ,14.977238 ,32.599729 ,42.853418 ,61.938719 ,76.436404 ,99.361724 ,128.232688 
0.081730 ,0.159568 ,0.994729 ,1.891812 ,4.832009 ,14.675976 ,32.571125 ,43.081437 ,61.511455 ,76.185994 ,97.920325 ,129.159010 
0.083349 ,0.156635 ,0.993736 ,1.837040 ,4.855212 ,14.884288 ,32.676824 ,43.177947 ,61.597495 ,76.602289 ,99.278787 ,127.552321 
0.081752 ,0.159140 ,1.009077 ,1.828127 ,4.819447 ,14.822847 ,32.578367 ,42.575155 ,61.200759 ,76.774053 ,98.341191 ,128.636195 
0.086396 ,0.153219 ,0.988182 ,1.805531 ,4.832767 ,14.549790 ,32.820969 ,43.079859 ,61.914322 ,76.691625 ,97.860533 ,128.662874 
0.052369 ,0.153050 ,0.986420 ,1.842017 ,4.849293 ,14.574185 ,32.689080 ,42.958559 ,61.136555 ,76.803292 ,97.521774 ,128.941808 
0.051145 ,0.152053 ,1.002335 ,1.899006 ,4.844601 ,14.887445 ,32.461935 ,42.847403 ,61.598749 ,76.408810 ,98.868047 ,128.027676 
0.051981 ,0.148554 ,0.977612 ,1.824443 ,4.842434 ,14.659714 ,32.717966 ,42.695109 ,61.226164 ,76.275925 ,97.401911 ,128.746342 
0.051093 ,0.183031 ,0.999335 ,1.895693 ,4.846081 ,14.587796 ,32.557196 ,42.780260 ,61.434028 ,76.871197 ,97.519905 ,130.383390 
