mm_main_double_280,mm_main_double_400,mm_main_double_750,mm_main_double_900,mm_main_double_1200,mm_main_double_1500,mm_main_double_1900,mm_main_double_2100,mm_main_double_2330,mm_main_double_2500,mm_main_double_2750,mm_main_double_3000
0.146568 ,0.438389 ,4.365543 ,7.138960 ,15.891797 ,34.755898 ,71.669241 ,97.447313 ,143.495124 ,173.674047 ,247.302344 ,313.487816 
0.130473 ,0.412066 ,4.269614 ,7.245699 ,15.874487 ,34.183480 ,72.312699 ,97.438440 ,146.389276 ,174.293672 ,249.502427 ,309.853810 
0.127917 ,0.374568 ,4.324861 ,7.202613 ,15.714445 ,33.836412 ,72.205260 ,98.227014 ,145.982433 ,172.266993 ,246.954138 ,316.599834 
0.133243 ,0.417137 ,4.338293 ,7.230386 ,15.475443 ,33.430421 ,70.623017 ,97.038969 ,144.361518 ,174.113748 ,247.541449 ,308.850031 
0.129300 ,0.437713 ,4.300324 ,7.213833 ,15.901362 ,33.402223 ,71.456833 ,97.418231 ,143.213155 ,174.751770 ,246.957460 ,310.314913 
0.128515 ,0.420928 ,4.269033 ,7.050320 ,16.456106 ,33.819347 ,71.926117 ,99.077271 ,142.719886 ,172.223382 ,246.230053 ,310.075474 
0.125592 ,0.367107 ,4.303717 ,6.922970 ,15.481089 ,33.410557 ,71.393129 ,97.881571 ,144.408353 ,172.966173 ,254.405213 ,308.234348 
0.127904 ,0.367967 ,4.317096 ,6.882956 ,15.746313 ,34.329983 ,70.268834 ,97.942646 ,144.275279 ,171.639400 ,260.084227 ,314.166925 
0.126846 ,0.390279 ,4.255849 ,6.930561 ,15.450985 ,34.057055 ,71.661404 ,96.213778 ,144.653990 ,172.772330 ,251.634080 ,312.337808 
0.128057 ,0.392932 ,4.280767 ,7.038905 ,16.316447 ,34.709948 ,70.934727 ,97.045131 ,143.213929 ,171.430926 ,249.331087 ,310.511566 
0.127845 ,0.413014 ,4.288621 ,6.978899 ,16.241784 ,34.624555 ,72.536206 ,96.483835 ,143.911931 ,173.866170 ,252.935732 ,311.490831 
0.126717 ,0.366712 ,4.422042 ,6.985635 ,16.528475 ,33.943814 ,71.187368 ,96.102649 ,143.476315 ,172.905560 ,251.880159 ,309.766072 
0.126273 ,0.373596 ,4.317210 ,6.915551 ,15.407058 ,33.871385 ,72.350046 ,97.513363 ,143.366290 ,172.484379 ,248.397155 ,308.215409 
0.127344 ,0.371386 ,4.251134 ,6.926607 ,15.906516 ,33.507132 ,71.438744 ,97.863226 ,144.665889 ,170.395755 ,248.267925 ,307.539749 
0.128904 ,0.400380 ,4.305364 ,6.891331 ,15.508082 ,34.324463 ,71.218214 ,97.648429 ,144.496101 ,172.819984 ,256.194252 ,309.094951 
0.129788 ,0.365725 ,4.243530 ,7.078669 ,16.301639 ,34.491826 ,70.863880 ,97.295655 ,145.197233 ,172.979252 ,249.246155 ,314.300983 
0.126059 ,0.365411 ,4.305434 ,7.275556 ,15.843518 ,34.566012 ,70.411294 ,97.596177 ,143.942584 ,173.364605 ,257.037390 ,311.121746 
0.125212 ,0.380250 ,4.281769 ,6.881161 ,16.185289 ,34.064002 ,70.552470 ,97.725387 ,142.960507 ,173.119756 ,255.260129 ,311.076859 
0.124935 ,0.381490 ,4.282656 ,6.960848 ,15.936998 ,33.693797 ,69.900746 ,98.079548 ,144.727112 ,171.534179 ,251.690472 ,309.440403 
0.125608 ,0.389917 ,4.299551 ,6.917043 ,15.954451 ,36.570980 ,71.625036 ,97.316132 ,145.344247 ,172.056184 ,252.382975 ,307.714876 
0.149421 ,0.391335 ,4.245189 ,6.958043 ,16.284951 ,35.680224 ,70.021756 ,97.712865 ,144.431192 ,173.059649 ,248.920515 ,310.652389 
0.127331 ,0.386433 ,4.300524 ,6.965514 ,15.793233 ,35.441097 ,72.157989 ,97.308711 ,144.107823 ,171.897695 ,248.326919 ,307.537682 
0.132075 ,0.436308 ,4.245661 ,6.926953 ,16.047520 ,34.389915 ,70.938897 ,96.440505 ,143.767129 ,171.656966 ,250.684403 ,308.246173 
0.150737 ,0.392020 ,4.266891 ,6.903114 ,16.192740 ,33.605107 ,70.096197 ,97.618367 ,144.089889 ,170.784016 ,248.578026 ,314.912745 
0.125230 ,0.390851 ,4.309194 ,7.308343 ,15.540052 ,34.131607 ,71.316561 ,97.724624 ,143.613807 ,171.034023 ,247.657497 ,306.870077 
0.125806 ,0.411163 ,4.286013 ,7.282572 ,15.755603 ,34.116084 ,71.611213 ,97.512007 ,144.824589 ,171.839330 ,249.560510 ,308.549309 
0.125692 ,0.387436 ,4.303079 ,7.029991 ,15.411658 ,34.781370 ,71.755153 ,97.777839 ,143.859676 ,170.562009 ,247.566618 ,310.937332 
0.157358 ,0.372900 ,4.299054 ,6.867260 ,16.205405 ,33.398002 ,70.524464 ,98.726586 ,144.216475 ,171.850425 ,249.189684 ,309.817312 
0.151103 ,0.366381 ,4.319807 ,6.964938 ,16.371968 ,33.645771 ,71.442595 ,98.142460 ,144.937041 ,171.227417 ,249.373130 ,307.904228 
0.151482 ,0.402201 ,4.298944 ,6.923688 ,15.667969 ,34.696902 ,70.603202 ,95.788007 ,144.666679 ,172.452762 ,249.140965 ,307.732882 
