mm_main_double_rnd_280,mm_main_double_rnd_400,mm_main_double_rnd_750,mm_main_double_rnd_900,mm_main_double_rnd_1200,mm_main_double_rnd_1500,mm_main_double_rnd_1900,mm_main_double_rnd_2100,mm_main_double_rnd_2330,mm_main_double_rnd_2500,mm_main_double_rnd_2750,mm_main_double_rnd_3000
0.170222 ,0.421564 ,4.260539 ,7.465136 ,16.127243 ,34.537047 ,71.590293 ,96.765253 ,142.592944 ,170.111266 ,170.806706 ,306.931968 
0.131440 ,0.394749 ,4.304319 ,7.256075 ,15.376942 ,34.497560 ,71.196957 ,96.241883 ,141.932976 ,169.878215 ,169.742138 ,303.292658 
0.127608 ,0.366054 ,4.335308 ,7.259489 ,15.375026 ,34.622776 ,71.294526 ,96.462525 ,143.145030 ,169.225250 ,171.152689 ,302.256596 
0.128161 ,0.365632 ,4.308547 ,6.980182 ,15.556530 ,33.844124 ,69.670516 ,96.761710 ,143.017955 ,169.512290 ,169.443437 ,302.029170 
0.148766 ,0.391583 ,4.370206 ,6.871040 ,16.232090 ,33.283878 ,70.525376 ,96.649018 ,142.374588 ,171.053693 ,169.708111 ,301.950752 
0.126943 ,0.389320 ,4.360444 ,6.938090 ,16.343708 ,33.952866 ,71.406533 ,96.464002 ,143.837298 ,170.949026 ,167.749664 ,302.019601 
0.128086 ,0.410178 ,4.415256 ,7.262272 ,15.498859 ,34.520873 ,71.790842 ,97.346923 ,143.173262 ,169.657271 ,168.930513 ,301.760865 
0.152490 ,0.410048 ,4.587918 ,6.878537 ,15.884750 ,33.212357 ,71.529997 ,97.492305 ,142.989170 ,168.770880 ,167.896152 ,301.989867 
0.176906 ,0.390272 ,4.343816 ,6.912437 ,15.599783 ,33.818592 ,69.692541 ,96.759975 ,143.119495 ,170.421971 ,170.365410 ,301.290734 
0.125498 ,0.372691 ,4.324374 ,7.018746 ,16.102456 ,33.222585 ,71.288980 ,97.166641 ,142.615386 ,168.665636 ,168.939395 ,301.873594 
0.126048 ,0.363280 ,4.296451 ,7.388884 ,15.471156 ,34.162073 ,71.915049 ,96.586361 ,142.571483 ,169.110113 ,170.103076 ,301.573024 
0.124668 ,0.359040 ,4.343898 ,7.177854 ,15.918813 ,34.069327 ,72.361494 ,96.879551 ,142.288436 ,169.578794 ,168.571291 ,301.349056 
0.148456 ,0.414452 ,4.382518 ,6.971135 ,16.160218 ,34.053852 ,72.047886 ,96.541745 ,143.042686 ,170.059085 ,172.014404 ,301.809408 
0.127811 ,0.384075 ,4.225035 ,6.911128 ,16.183314 ,33.964179 ,71.385094 ,95.877892 ,142.850627 ,169.208454 ,169.973090 ,302.293575 
0.154620 ,0.366042 ,4.353686 ,6.940707 ,15.866710 ,33.878275 ,70.150335 ,95.831620 ,143.014488 ,168.706996 ,168.126305 ,300.991067 
0.126283 ,0.364773 ,4.282969 ,7.095334 ,15.394023 ,33.826079 ,71.753420 ,96.194595 ,142.238172 ,169.464075 ,169.940349 ,301.912614 
0.150353 ,0.385257 ,4.243032 ,7.326135 ,16.125385 ,34.162992 ,70.723673 ,96.133372 ,142.360282 ,170.232118 ,167.917677 ,301.894537 
0.153460 ,0.429559 ,4.303826 ,7.256732 ,15.859367 ,34.284427 ,71.524863 ,96.854627 ,143.086755 ,168.645133 ,168.428943 ,302.295539 
0.125561 ,0.387242 ,4.294165 ,7.044943 ,16.160440 ,34.396424 ,72.019076 ,97.139602 ,142.166366 ,168.812190 ,168.357028 ,301.971581 
0.149524 ,0.369800 ,4.278106 ,7.388282 ,15.287419 ,33.615230 ,70.301332 ,95.893748 ,143.604249 ,169.213271 ,168.025133 ,301.392593 
0.147763 ,0.360789 ,4.250468 ,6.984786 ,15.556311 ,33.817932 ,71.218522 ,95.896860 ,142.835417 ,169.207337 ,168.380174 ,301.700764 
0.147690 ,0.408678 ,4.250209 ,7.253348 ,16.223709 ,33.477169 ,71.044993 ,96.736058 ,142.334584 ,170.921321 ,169.440404 ,301.510549 
0.148298 ,0.411690 ,4.342185 ,7.026232 ,15.980610 ,34.297149 ,71.095833 ,96.515347 ,142.912580 ,169.812399 ,168.353444 ,302.637708 
0.151095 ,0.409027 ,4.348724 ,6.881039 ,16.309364 ,33.327340 ,71.152362 ,96.599111 ,142.631707 ,170.161517 ,168.307171 ,301.826335 
0.151474 ,0.416754 ,4.352617 ,7.202976 ,15.649239 ,34.645359 ,69.900274 ,97.388802 ,142.826741 ,170.508676 ,169.479152 ,300.763906 
0.147812 ,0.399918 ,4.328508 ,7.164762 ,15.994039 ,34.177521 ,71.366548 ,96.168940 ,142.984663 ,170.053935 ,170.109043 ,302.539463 
0.128795 ,0.418003 ,4.267432 ,7.220509 ,15.838933 ,33.889043 ,70.364658 ,96.795381 ,143.130019 ,169.240835 ,169.303778 ,304.841905 
0.124685 ,0.413027 ,4.389807 ,7.273384 ,16.155375 ,34.441581 ,70.446339 ,96.319538 ,142.379142 ,169.746855 ,170.141238 ,300.400516 
0.133413 ,0.423429 ,4.355132 ,7.271948 ,16.471109 ,33.959498 ,70.933389 ,96.155350 ,142.073797 ,170.793564 ,168.476783 ,300.671544 
0.125323 ,0.366118 ,4.321765 ,7.307475 ,15.998198 ,33.923836 ,71.068145 ,95.984720 ,142.331971 ,170.120911 ,168.878258 ,301.334107 
