mm_main_int_rnd_280,mm_main_int_rnd_400,mm_main_int_rnd_750,mm_main_int_rnd_900,mm_main_int_rnd_1200,mm_main_int_rnd_1500,mm_main_int_rnd_1900,mm_main_int_rnd_2100,mm_main_int_rnd_2330,mm_main_int_rnd_2500,mm_main_int_rnd_2750,mm_main_int_rnd_3000
0.090994 ,0.207223 ,2.252823 ,5.469978 ,13.796066 ,29.368297 ,59.740468 ,82.353872 ,134.713740 ,142.839577 ,226.526563 ,248.575039 
0.086695 ,0.232660 ,1.951682 ,5.515085 ,13.646523 ,29.348792 ,59.855245 ,82.542627 ,133.942341 ,141.725930 ,226.300587 ,249.415919 
0.074645 ,0.206370 ,2.249056 ,5.466669 ,13.731063 ,29.318941 ,59.696812 ,82.588038 ,134.011447 ,142.984029 ,226.981923 ,249.566155 
0.074288 ,0.232833 ,2.313363 ,5.511090 ,13.745984 ,29.324557 ,59.925892 ,82.675933 ,133.917943 ,143.995482 ,228.101946 ,249.845265 
0.077647 ,0.205716 ,2.073034 ,5.506039 ,13.860700 ,29.311581 ,59.958840 ,82.414972 ,134.483714 ,143.739581 ,226.726653 ,249.581701 
0.072730 ,0.217918 ,1.892028 ,5.415461 ,13.745924 ,29.519866 ,59.818393 ,82.322248 ,134.191773 ,143.637242 ,227.084447 ,247.540837 
0.077596 ,0.208117 ,2.342937 ,5.538015 ,13.764694 ,29.455716 ,59.958080 ,82.515629 ,134.323419 ,142.753330 ,228.125127 ,249.264607 
0.076848 ,0.210114 ,2.268478 ,5.402078 ,13.790509 ,29.372991 ,59.699403 ,82.250554 ,133.873252 ,142.475666 ,225.914837 ,248.787158 
0.073951 ,0.206035 ,2.296720 ,5.458563 ,13.889153 ,29.326616 ,59.835067 ,82.646829 ,133.841682 ,142.526778 ,227.196934 ,249.193919 
0.071663 ,0.233202 ,1.930120 ,5.441812 ,13.698107 ,29.315372 ,59.713561 ,82.448363 ,133.798111 ,143.185663 ,227.889046 ,249.807978 
0.074680 ,0.204355 ,1.971439 ,5.441439 ,13.735042 ,29.513610 ,59.705448 ,82.667071 ,133.859571 ,142.480541 ,227.030739 ,249.722777 
0.100646 ,0.218743 ,2.226786 ,5.409885 ,13.731368 ,29.311129 ,60.112225 ,82.603266 ,134.057838 ,142.084333 ,226.296412 ,250.443307 
0.070943 ,0.209359 ,2.172334 ,5.430117 ,13.616333 ,29.291015 ,59.762354 ,82.261077 ,134.306729 ,143.683253 ,226.167866 ,250.933755 
0.072442 ,0.210257 ,2.216001 ,5.496575 ,13.651114 ,29.417615 ,59.979537 ,82.353097 ,134.846551 ,142.733322 ,225.406268 ,249.234269 
0.073000 ,0.216413 ,2.216354 ,5.417962 ,13.682835 ,29.521513 ,59.681674 ,82.332562 ,134.485297 ,142.557716 ,226.385806 ,249.841695 
0.072939 ,0.235267 ,2.167357 ,5.437167 ,13.669941 ,29.405772 ,59.797818 ,82.451914 ,133.881807 ,142.503048 ,228.005376 ,249.051112 
0.072875 ,0.207497 ,2.153968 ,5.441955 ,13.799066 ,29.388074 ,59.736452 ,83.101639 ,132.461139 ,143.105116 ,226.785055 ,247.957573 
0.104051 ,0.211781 ,2.294321 ,5.474338 ,13.756778 ,29.289900 ,59.608608 ,82.684426 ,134.482076 ,142.559189 ,226.882578 ,250.169897 
0.071990 ,0.205442 ,2.091824 ,5.519529 ,13.689909 ,29.367375 ,59.760565 ,82.473956 ,134.031685 ,142.978240 ,229.159303 ,248.680595 
0.073059 ,0.209509 ,2.148927 ,5.488381 ,13.764180 ,29.396595 ,60.112446 ,82.474801 ,134.210773 ,142.755014 ,228.563183 ,249.463744 
0.073071 ,0.204835 ,2.314093 ,5.495116 ,13.690936 ,29.363351 ,59.764859 ,82.371462 ,134.569947 ,143.006183 ,227.389417 ,248.029759 
0.071912 ,0.207154 ,2.289636 ,5.522858 ,13.688357 ,29.279206 ,59.705152 ,82.281240 ,134.520127 ,142.452086 ,224.886454 ,248.126315 
0.097199 ,0.231810 ,1.999540 ,5.501003 ,13.692890 ,29.412382 ,59.654269 ,82.448787 ,134.375339 ,142.794771 ,226.339882 ,249.178392 
0.071033 ,0.213289 ,2.304246 ,5.495737 ,13.769460 ,29.436151 ,59.711161 ,82.334325 ,134.486193 ,143.765511 ,227.061955 ,249.123371 
0.072909 ,0.211283 ,2.140313 ,5.455704 ,13.731060 ,29.281926 ,59.940845 ,82.228458 ,134.425493 ,142.552319 ,225.594003 ,250.546790 
0.072721 ,0.211016 ,2.087101 ,5.401146 ,13.718667 ,29.252339 ,59.794302 ,82.566156 ,133.997280 ,143.213442 ,227.871165 ,249.150779 
0.073997 ,0.206933 ,2.146273 ,5.429503 ,13.665716 ,29.410288 ,59.789286 ,82.397639 ,134.720689 ,142.591606 ,226.948143 ,250.291156 
0.071992 ,0.206507 ,2.133479 ,5.431975 ,13.665568 ,29.247239 ,59.740011 ,82.537014 ,135.822763 ,142.324750 ,227.391593 ,249.161304 
0.099436 ,0.237782 ,2.077348 ,5.451440 ,13.736837 ,29.301842 ,59.737658 ,82.298064 ,134.014211 ,144.240634 ,227.091804 ,250.656872 
0.074000 ,0.207762 ,2.195789 ,5.436918 ,13.718851 ,29.426119 ,59.845998 ,82.241248 ,134.618631 ,144.827876 ,226.594438 ,249.094562 
