mm_main_int_280,mm_main_int_400,mm_main_int_750,mm_main_int_900,mm_main_int_1200,mm_main_int_1500,mm_main_int_1900,mm_main_int_2100,mm_main_int_2330,mm_main_int_2500,mm_main_int_2750,mm_main_int_3000
0.075835 ,0.214869 ,2.047948 ,5.804094 ,13.864385 ,29.355386 ,60.101537 ,85.190152 ,134.616170 ,142.681174 ,225.556177 ,248.742180 
0.088863 ,0.208864 ,1.916497 ,6.686390 ,13.659361 ,29.349574 ,60.452666 ,83.836240 ,134.415430 ,142.524451 ,226.592540 ,248.792021 
0.078793 ,0.213095 ,1.983653 ,6.300871 ,13.650749 ,29.355588 ,60.265647 ,83.720811 ,134.529271 ,143.463662 ,228.724516 ,248.112878 
0.078916 ,0.209593 ,2.348494 ,6.209746 ,13.656515 ,29.300892 ,60.064384 ,83.924372 ,133.707489 ,141.939459 ,226.252152 ,248.703176 
0.077577 ,0.212617 ,2.147351 ,6.168666 ,14.014628 ,29.389415 ,60.446256 ,83.361229 ,134.099083 ,143.294249 ,226.684343 ,251.231014 
0.075775 ,0.213103 ,1.990684 ,5.446652 ,13.833288 ,29.278586 ,60.601996 ,84.441679 ,134.822498 ,143.197869 ,226.114967 ,248.053791 
0.073128 ,0.211490 ,2.032614 ,5.549708 ,14.309544 ,29.250562 ,60.482168 ,84.029600 ,135.358812 ,143.302172 ,227.077824 ,249.086677 
0.079590 ,0.211843 ,1.987382 ,6.435140 ,13.727666 ,29.425142 ,60.845898 ,83.849730 ,134.875857 ,143.171141 ,226.224070 ,250.342306 
0.074556 ,0.216494 ,1.899045 ,5.869430 ,13.774388 ,29.335675 ,60.020820 ,83.262585 ,133.797069 ,142.526776 ,227.430481 ,248.771254 
0.076946 ,0.215092 ,2.056146 ,5.873051 ,13.767498 ,29.350733 ,61.222819 ,83.254942 ,133.772751 ,141.929955 ,225.844995 ,248.175577 
0.075483 ,0.210496 ,2.066093 ,5.485653 ,13.728304 ,29.513824 ,60.327805 ,85.679740 ,135.217224 ,142.656791 ,226.634201 ,249.997429 
0.076305 ,0.211962 ,2.073558 ,5.503471 ,14.145577 ,29.319662 ,61.039259 ,86.442717 ,134.370612 ,142.339303 ,226.440020 ,248.940867 
0.073015 ,0.212495 ,1.921213 ,5.456814 ,13.943940 ,29.416787 ,60.813011 ,85.360542 ,134.358670 ,142.664397 ,226.949137 ,250.363456 
0.077510 ,0.218697 ,2.062305 ,5.498714 ,13.653046 ,29.315781 ,60.667179 ,83.112699 ,134.168028 ,142.861896 ,228.954694 ,250.432890 
0.075393 ,0.212190 ,1.995987 ,6.279230 ,13.644865 ,29.383721 ,61.000030 ,83.173133 ,134.401901 ,143.302624 ,227.320473 ,250.240734 
0.075363 ,0.219803 ,2.040913 ,6.215844 ,13.678226 ,29.343588 ,61.266688 ,84.009619 ,133.843901 ,143.433278 ,226.197521 ,249.957485 
0.073652 ,0.213160 ,2.036840 ,6.731227 ,13.679751 ,29.336333 ,61.896338 ,83.827983 ,132.792443 ,142.721679 ,225.824591 ,247.949182 
0.076576 ,0.213463 ,2.384725 ,6.407924 ,13.709216 ,29.330374 ,61.900664 ,83.306014 ,133.513541 ,143.267126 ,226.068434 ,248.863123 
0.076508 ,0.209701 ,2.547548 ,6.039834 ,13.649260 ,29.325519 ,60.577585 ,83.970488 ,134.016771 ,142.825245 ,228.390034 ,248.214054 
0.074993 ,0.212348 ,2.128613 ,6.426749 ,13.670723 ,29.359992 ,61.985233 ,84.645059 ,134.803968 ,143.886371 ,227.869698 ,250.050907 
0.072910 ,0.214047 ,2.286413 ,6.012913 ,13.679706 ,29.397958 ,60.131697 ,83.114740 ,133.267032 ,144.352747 ,225.555611 ,250.195915 
0.075419 ,0.215446 ,2.194498 ,6.101634 ,13.629551 ,29.428225 ,61.168546 ,83.594228 ,134.064068 ,143.635824 ,225.750017 ,250.011879 
0.074805 ,0.207862 ,2.491630 ,5.480691 ,13.710645 ,29.405990 ,61.462146 ,83.091921 ,135.192842 ,143.782287 ,227.273923 ,249.936999 
0.077778 ,0.211818 ,1.928143 ,5.413242 ,13.698381 ,29.346653 ,61.342681 ,83.633589 ,134.159859 ,144.757224 ,227.701409 ,249.596073 
0.074099 ,0.214998 ,1.985005 ,5.433625 ,13.710024 ,29.429412 ,61.042800 ,84.094125 ,134.260028 ,144.245061 ,225.359255 ,251.228768 
0.076300 ,0.217087 ,2.041765 ,5.460478 ,13.608759 ,29.542578 ,60.717271 ,83.436263 ,133.584554 ,145.856327 ,225.939942 ,250.227225 
0.075985 ,0.213617 ,1.997983 ,5.433673 ,13.642681 ,29.489588 ,61.244361 ,83.665598 ,134.152373 ,144.479979 ,227.355669 ,248.675516 
0.073810 ,0.214909 ,2.011090 ,5.423003 ,13.666347 ,29.672914 ,60.652754 ,83.404973 ,134.282057 ,143.569177 ,227.124722 ,248.329791 
0.075199 ,0.221925 ,2.003775 ,5.491594 ,13.684239 ,29.563121 ,61.398362 ,84.213483 ,132.814687 ,144.351466 ,228.040616 ,250.319981 
0.077847 ,0.214771 ,1.822626 ,6.028406 ,13.669148 ,29.758433 ,60.429831 ,84.008557 ,134.301398 ,143.583469 ,225.394820 ,248.464916 
